                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2048,                0.95824,                 1.1122,                0.52199,                0.41756,                0.38308,                0.26803,                 1.1022,                0.90171,                 1.0706,              0.0033331,              0.0033331,              0.0033331
                      1,                 1.1715,                 0.7764,                 1.0958,                 0.4199,                0.42856,                0.40065,                0.27511,                 1.1004,                0.89633,                  1.072,              0.0060065,              0.0060065,              0.0060065
                      2,                  1.172,                0.76134,                 1.1047,                0.43292,                0.41921,                 0.3998,                0.28133,                 1.0998,                0.89458,                 1.0803,              0.0080198,              0.0080198,              0.0080198
                      3,                 1.1508,                 0.7175,                 1.0956,                   0.54,                0.40437,                0.40324,                 0.2851,                 1.0982,                0.93046,                 1.0863,                0.00703,                0.00703,                0.00703
                      4,                 1.1167,                0.66068,                 1.0786,                0.44499,                0.39619,                0.40182,                0.28299,                  1.099,                 0.9541,                 1.0911,                0.00703,                0.00703,                0.00703
                      5,                 1.0849,                0.61137,                 1.0584,                0.46365,                0.39054,                0.39875,                 0.2805,                 1.0988,                0.95886,                 1.0905,                0.00604,                0.00604,                0.00604
                      6,                 1.0587,                0.57459,                 1.0431,                0.45488,                0.39362,                0.39737,                0.27905,                 1.0985,                0.95563,                 1.0874,                0.00505,                0.00505,                0.00505
                      7,                 1.0367,                0.54438,                 1.0341,                0.46696,                0.39144,                0.39488,                0.27674,                 1.0981,                  0.951,                 1.0852,                0.00406,                0.00406,                0.00406
                      8,                 1.0137,                0.51645,                 1.0179,                0.48954,                 0.3896,                0.39265,                0.27583,                 1.0989,                0.94987,                 1.0829,                0.00307,                0.00307,                0.00307
                      9,                0.99124,                 0.4902,                 1.0065,                0.49164,                0.38895,                0.38909,                0.27319,                 1.1015,                0.95544,                 1.0821,                0.00208,                0.00208,                0.00208
